姓名;职级;出生年;祖籍或出生地;毕业院校;任职地区;任职系统;简历;照片;英文名;rank;id2
谭建明;5;1960;四川;;四川;四川;1960年出生，原成都市兴蓉投资股份有限公司董事长。;person166;;0;persons166
王文全;5;;;;四川;四川;原成都市兴蓉集团有限公司董事、总经理。;person167;;0;persons167
单增德;4;1961;山东;山东省委党校;山东;山东;1961年出生，原山东省农业厅副厅长。;person168;;0;persons168
周顺明;4;1951;湖北;;湖北;湖北;1951年出生，原湖北省财政厅党组副书记、副厅长。;person169;;0;persons169
夏早发;5;1965;湖北;;湖北;湖北;1965年出生，原湖北省国土资源厅党组成员、副厅长。;person170;;0;persons170
尚伟;5;1970;河南;武汉水利电力大学;广东;广东;1970年出生，原广东省韶关市人民政府副市长。;person171;;0;persons171
李洁之;5;;;;安徽;安徽;原安徽皖通高速公路股份有限公司董事。;person172;;0;persons172
鲁向东;5;1960;福建;北京大学;中央;中央;1960年出生，原中国移动通信集团公司副总经理。;person173;;0;persons173
张保;4;1957;山西;中央党校;山西;山西;1957年出生，原山西省长治市市委副市级、市长。;person174;;0;persons174
杨汉忠;4;1954;山西;内蒙古财贸学校;内蒙古;内蒙古;1954年出生，原内蒙古自治区政法委副书记。;person175;;0;persons175
王建辉;5;1957;湖北;华中师范大学;湖北;湖北;1957年出生，原湖北省文化厅副厅长。;person176;;0;persons176
张善彩;5;1957;湖北;华中师范大学;湖北;湖北;1957年出生，原湖北省知识产权局党组副书记、副局长。;person177;;0;persons177
李亚力;5;1960;山西;;山西;山西;1960年出生，原山西省公安厅副厅长、太原市公安局局长。;person178;;0;persons178
刘家坤;5;1961;安徽;中央党校;安徽;安徽;1961年出生，原安徽阜阳市人大副主任。;person179;;0;persons179
衣俊卿;3;1958;黑龙江;北京大学;黑龙江中央;黑龙江中央;1958年出生，原中央编译局局长。;person180;;0;persons180
韩树明;4;1965;辽宁;安徽淮北煤炭师范学院;中央重庆;中央重庆;1965年出生，原重庆市长寿区委副书记、区长。;person181;;0;persons181
彭智勇;4;1963;重庆;西南师范学院（现并入西南大学）;重庆;重庆;1963年出生，原重庆市九龙坡区委书记职务。;person182;;0;persons182
罗登友;4;1957;重庆;;重庆;重庆;1957年出生，原重庆市交通纪委书记、监察专员。;person183;;0;persons183
吕英明;5;1962;广东;天津大学;广东;广东;1962年出生，原广东省国土厅副厅长、水利厅副厅长。;person184;;0;persons184
陈弘平;4;1954;广东;广东省委党校;广东;广东;1954年出生，原揭阳市市委书记。;person185;;0;persons185
张引;5;1959;江苏;;江苏;江苏;1959年出生，原江苏省徐州市政协副主席、泉山区区委书记。;person186;;0;persons186
郭勇飞;5;1954;山西;山西师范大学;山西;山西;1954年出生，原山西省晋中市副市长。;person187;;0;persons187
黄小虎;5;1963;安徽;安徽财贸学院;安徽;安徽;1963年出生，原安徽军工集团董事长。;person188;;0;persons188
谢华骏;5;1957;重庆;;重庆;重庆;1957年出生，原重庆机电控股（集团）公司董事长、党委书记。;person189;;0;persons189
周天云;5;1952;重庆;;重庆;重庆;1952年出生，原重庆市地产集团董事、董事长。;person190;;0;persons190
何玉柏;5;;四川;四川大学;重庆;重庆;原重庆国际信托有限公司董事长、党委书记。;person191;;0;persons191
罗广;5;;四川;西南农业大学（现西南大学）;重庆;重庆;原西南证券董事长。;person192;;0;persons192
粟志光;5;1955;重庆;重庆市行政管理学院;重庆;重庆;1955年出生，原重庆城投集团副总经理。;person193;;0;persons193
赵建明;5;;安徽;;安徽;安徽;原马钢集团公司党委副书记。;person194;;0;persons194
张友仁;5;;;;安徽;安徽;原安徽军工集团控股有限公司董事长。;person195;;0;persons195
戴春宁;3;1962;;;公司宁夏;公司宁夏;1962年出生，原中国出口信用保险公司副总经理。;person196;;0;persons196
杨刚;3;1953;河北;中央党校;新疆中央;新疆中央;1953年出生，原政协全国经济委员会副主任。;person197;;0;persons197
陈安众;3;1954;湖南;湖南师范大学;湖南江西;湖南江西;1954年出生，原江西省人大常委会副主任、省总工会主席。;person198;;0;persons198
童名谦;3;1958;湖南;中国青年政治学院;湖南;湖南;1958年出生，原湖南省政协副主席。;person199;;0;persons199
温青山;4;1958;;中国人民大学;;;1958年出生，原中石油总会计师。;person200;;0;persons200
曹鉴燎;4;1955;广东;暨南大学;广州;广州;1955年出生，原广州市副市长、增城市委书记。;person201;;0;persons201
李永恒;4;1952;广东;广州市财政中专;广东;广东;1952年出生，原广东省国税局局长李永恒。;person202;;0;persons202
徐孟加;4;1957;四川;青海大学;四川;四川;1957年出生，原雅安市委书记。;person203;;0;persons203
胡国初;4;1953;湖南;;湖南;湖南;1953年出生，原湖南省衡阳市人大常委会主任。;person204;;0;persons204
李崇禧 ;2;1951;四川;四川财经学院;四川;四川;1951年出生，原四川省政协主席。;person205;;0;persons205
李东生;2;1955;山东;复旦大学;中央;中央;1955年出生，原公安部党委副书记、副部长。;person206;;0;persons206
董乃军;5;1974;四川;西南师范大学;重庆;重庆;1974年出生，原重庆市永川区委常委、副区长。;person207;;0;persons207
程晓强;5;1955;江苏;;江苏;江苏;1955年出生，原南通农业职业技术学院党委书记。;person208;;0;persons208
孙建成;5;1957;四川;解放军西安政治学校;四川;四川;1957年出生，原成都市质量技术监督局局长。;person209;;0;persons209
蒲忠;5;1969;四川;四川师范大学;四川;四川;1969年出生，原四川雅安市委常委、常务副市长。;person210;;0;persons210
安小予;5;1953;河北;;新疆四川;新疆四川;1953年出生，原四川大学党委常委、副校长。;person211;;0;persons211
肖双胜;5;1969;天津;河北大学;河北;河北;1969年出生，原河北省纪委对廊坊市委常委、政法委书记。;person212;;0;persons212
黄峰平;5;1965;浙江;上海医科大学;上海;上海;1965年出生，原上海市卫生和计划生育委员会副主任。;person213;;0;persons213
杨丰陌;5;1957;;;辽宁;辽宁;1957年出生，辽宁省民族事务委员会副主任、党组副书记。;person214;;0;persons214
梁景理;5;1954;广西;武汉钢铁学院(武汉科技大学）;广西;广西;1954年出生，原广西柳州钢铁（集团）公司董事长、党委书记。;person215;;0;persons215
孟中泽;5;1963;河南;武汉钢铁学院(武汉科技大学);河南;河南;1963年出生，原郑州煤炭工业（集团）有限责任公司党委书记、董事长。;person216;;0;persons216
郭有明;3;1956;湖北;武汉水利电力学院;湖北;湖北;1956年出生，原湖北省副省长。;person217;;0;persons217
陈柏槐;3;1950;湖北;华中师范大学;湖北;湖北;1950年出生，原湖北省政协副主席。;person218;;0;persons218
许杰;4;1955;;中国人民大学;中央;中央;1955年出生，原国家信访局党组成员、副局长。;person219;;0;persons219
